intercept,slope,sigma_log__,sigma,mu__0,mu__1,mu__2,mu__3,mu__4,mu__5,mu__6
-0.562584696377477,-0.01986814324345232,1.3465443386135965,3.8441185796402695,-0.5405576285448198,-0.562584696377477,-0.6057929750988689,-0.6257267251142323,-0.6394982725863924,-0.6613256589066674,-0.6939536747891255
-0.562584696377477,-0.01986814324345232,1.3465443386135965,3.8441185796402695,-0.5405576285448198,-0.562584696377477,-0.6057929750988689,-0.6257267251142323,-0.6394982725863924,-0.6613256589066674,-0.6939536747891255
-0.8295435119831497,0.5418129876823831,1.1760641870678599,3.2415907679221894,-1.430231320906996,-0.8295435119831497,0.34876521570158936,0.8923673288531121,1.2679234736559164,1.8631658800837654,2.7529461957782835
-0.6526514708432031,0.5088430715191411,1.2884840279871248,3.6272835252795392,-1.2167867659832519,-0.6526514708432031,0.4539558749083371,0.9644792016442171,1.3171823420151725,1.8762035933897265,2.711839798331867
-0.5711184599937249,0.5518675423977413,1.178421716282611,3.249241928233087,-1.182953377936696,-0.5711184599937249,0.6290564278669961,1.1827462969681242,1.5652717280236648,2.171560191818892,3.0778523761326317
-0.0835482096900918,0.4716096655596129,1.2949803615231554,3.650924274845409,-0.6064042192591715,-0.0835482096900918,0.9420857223542459,1.4152526943707495,1.7421476043782143,2.2602637784166624,3.0347542514139794
2.4529882523193756,0.3427053321284398,0.38507395906726405,1.4697230167650488,2.073043659364309,2.4529882523193756,3.1982872633275012,3.542124245770829,3.7796694804985163,4.156169769766906,4.718969971208723
3.0119712247762727,-0.07268703476212299,-0.08748778444310878,0.9162300638429883,3.0925566235043416,3.0119712247762727,2.8538949707977666,2.7809679155338736,2.730585102325245,2.6507302327087308,2.531361568228776
3.0119712247762727,-0.07268703476212299,-0.08748778444310878,0.9162300638429883,3.0925566235043416,3.0119712247762727,2.8538949707977666,2.7809679155338736,2.730585102325245,2.6507302327087308,2.531361568228776
3.0560215745443524,-0.05875321066262734,-0.40872968243482927,0.6644938324014408,3.121159063276652,3.0560215745443524,2.9282479285130822,2.8693007083527498,2.828576086033105,2.7640290868004365,2.6675429347148674
3.1633389530990432,0.15323095829807892,-0.46370768194190376,0.6289473802748345,2.9934575167143334,3.1633389530990432,3.496578243442458,3.6503151870461394,3.756526793764951,3.9248682075556114,4.17650833717274
3.146053150082287,0.11977075669366376,-0.19034620837934163,0.8266728833158601,3.0132677886253503,3.146053150082287,3.4065248093852927,3.5266910621562566,3.609709824472001,3.741291449598738,3.937982308113802
3.4535591329594544,-0.12783783440364554,-0.7003840144305761,0.49639464447904824,3.595288161962559,3.4535591329594544,3.1755435825193192,3.0472836136695625,2.958673179183786,2.8182289633512223,2.6082901260783524
4.317634968934516,-0.08666186767620684,-0.06121084218443118,0.940624895459381,4.413713742598364,4.317634968934516,4.129166923018652,4.04221888842104,3.982149459179218,3.8869416663912073,3.7446231437041604
4.300746949283302,-0.30747647510067844,-1.0384543129793995,0.3540014347185203,4.6416346251470735,4.300746949283302,3.63206195574222,3.323570159847706,3.1104437080431606,2.7726462740212012,2.2676998786717806
4.251204860748511,-0.19369482715086528,-0.9928616691769966,0.37051488145691946,4.465947076173849,4.251204860748511,3.8299667019595898,3.6356322734031203,3.5013732500744523,3.2885777327150665,2.970486715392087
3.8710769692678646,-0.10974339692993483,-1.2786299946927353,0.2784184740757563,3.992745371732123,3.8710769692678646,3.632412327872969,3.52230654629929,3.446238220132235,3.3256727756648266,3.1454491254651593
3.7496647758563357,-0.14441521868580287,-1.3371121190914257,0.2626029406170458,3.9097725312254004,3.7496647758563357,3.4355975304108743,3.2907054369513835,3.190604435289371,3.031948101370456,2.7947854238514127
3.9656910267221623,-0.15526111086583236,-1.6551719894200871,0.19105919271974453,4.1378232173808165,3.9656910267221623,3.6280366585871504,3.472262858630927,3.36464405738367,3.1940722930342047,2.9390981905635085
3.9252547091532213,-0.13472662242660227,-1.7388527995339114,0.17572187324504315,4.07462107996563,3.9252547091532213,3.6322577551012216,3.4970862507005167,3.4037008722191526,3.255688549210539,3.034436753184063
3.809737146778815,-0.1194336785757747,-2.007014316525946,0.1343893202432863,3.942148802324904,3.809737146778815,3.549998548692963,3.430170487108529,3.347385369539828,3.2161740625756448,3.020036763094727
3.9127843723294977,-0.15802052792590549,-2.1172683387897306,0.12035996249950828,4.087975825548122,3.9127843723294977,3.569128957192799,3.4105866282809694,3.301055144878534,3.127451851037312,2.867946157337422
3.8943368037414303,-0.14290163335375083,-2.0974885747161367,0.12276435492863974,4.0527665036238245,3.8943368037414303,3.5835612306024625,3.4401877204985647,3.3411358562420013,3.184142365768826,2.9494653400617565
3.833521711441031,-0.11674432155573923,-2.3982071724425014,0.09088074081740968,3.962951777375012,3.833521711441031,3.5796317971641867,3.462501973149442,3.3815809758166977,3.253324229523341,3.061603466730734
3.9628598097373904,-0.14984188069019785,-2.3612766687327733,0.09429975676383216,4.128983902446639,3.9628598097373904,3.636990921755958,3.4866542468633672,3.382791769733157,3.2181736382497648,2.972099145877238
3.9663232818314067,-0.15048976695559624,-2.3660964708288525,0.0938463441557909,4.133165661828044,3.9663232818314067,3.6390454020789735,3.4880587015300044,3.3837471438616094,3.218417236565392,2.9712787673985352
3.9663232818314067,-0.15048976695559624,-2.3660964708288525,0.0938463441557909,4.133165661828044,3.9663232818314067,3.6390454020789735,3.4880587015300044,3.3837471438616094,3.218417236565392,2.9712787673985352
