bsa_log__,soa_log__,rf_log__,lf_log__,bsa,soa,rf,lf,mu_rt__0,mu_rt__1,mu_rt__2,mu_rt__3,mu_rt__4,mu_rt__5,mu_rt__6,mu_rt__7,mu_rt__8
2.052465185173288,0.5152614109042225,-4.47351059939053,-1.5530050054746907,7.7870740436523285,1.6740760663412058,0.011407199368107693,0.21161112484996444,1330.8999999999999,1252.6999999999998,1181.8999999999999,1252.6999999999998,1198.8000000000002,1150.1,1181.8999999999999,1150.1,1121.3
1.7602693437903723,0.6119158514654242,-5.596421166355772,-0.95662883330488,5.814003149175395,1.8439607717716704,0.003711121465051071,0.3841858599109162,1318.0,1253.8,1189.0,1253.8,1205.3,1156.1999999999998,1189.0,1156.1999999999998,1123.1
1.679590466479151,0.40597911976729284,-4.496497224007525,-1.6916065658572608,5.363359045981758,1.500771215678638,0.01114797709484007,0.1842233192256871,1335.3,1262.3999999999999,1186.8000000000002,1262.3999999999999,1206.0,1147.5,1186.8000000000002,1147.5,1106.8
1.7998349027416956,0.4247057029720732,-4.315323140890807,-1.8602577419984572,6.048648766646263,1.5291403319819086,0.013362230905212536,0.15563251216343638,1331.2,1262.6,1194.1,1262.6,1211.2,1160.0,1194.1,1160.0,1126.0
1.8944288408736214,0.4436972382458852,-4.2767681223808784,-1.8944344450824835,6.6487498257976405,1.5584585725357671,0.013887472247740878,0.15040337236434875,1324.7,1255.4,1188.5,1255.4,1205.0,1156.4,1188.5,1156.4,1125.3999999999999
1.9238512957059717,0.5467037773304274,-4.846190744530071,-1.2605108318566112,6.847278648217398,1.727549235610323,0.00785825470796348,0.28350916399012077,1331.8000000000002,1255.6000000000001,1182.9,1255.6000000000001,1200.6,1148.3000000000002,1182.9,1148.3000000000002,1115.3999999999999
1.8718306247734495,0.5032955586088609,-4.582013394380051,-1.489468912602184,6.500184913797267,1.6541636912596498,0.01023426991731856,0.2254923799058451,1327.7,1254.2,1182.7,1254.2,1200.3999999999999,1148.0,1182.7,1148.0,1114.3000000000002
1.7919066496257776,0.5376133555006468,-4.7946225460566625,-1.3082683143420955,6.000883147375732,1.71191624720994,0.008274121338158575,0.2702877046996204,1324.4,1256.3,1188.3,1256.3,1205.3,1154.3000000000002,1188.3,1154.3000000000002,1120.3000000000002
2.0381172862569,0.5099428031499826,-4.494881307530705,-1.5439794932199102,7.6761436048067475,1.665195948259105,0.011166005857274931,0.21352966854669284,1334.8,1254.3999999999999,1181.3,1254.3999999999999,1198.8000000000002,1148.2,1181.3,1148.2,1118.1000000000001
1.7760835621374718,0.4432444132610972,-4.483624019990515,-1.6620822714616739,5.906677922590597,1.55775302331358,0.011292414972820271,0.1897434710510135,1331.3,1257.6000000000001,1183.4,1257.6000000000001,1202.0,1146.2,1183.4,1146.2,1108.7
1.8471125311920304,0.4439859085979193,-4.302181456928037,-1.8628379026161095,6.341482229028172,1.5589085182604023,0.013538992046396647,0.15523147288009265,1318.3,1251.5,1186.0,1251.5,1202.2,1153.8999999999999,1186.0,1153.8999999999999,1122.4
1.533045346096595,0.3295470389475349,-4.409336000548705,-1.8595047796784139,4.632262205606685,1.3903382167498723,0.012163252041829898,0.15574974171004619,1329.0,1264.7,1195.2,1264.7,1213.2,1157.5,1195.2,1157.5,1116.8
1.5981060097076243,0.3525967343691918,-4.30657355016526,-1.9823010737432663,4.943660307216604,1.4227572786199512,0.013479657926865366,0.1377518950681408,1308.0,1249.0,1186.3999999999999,1249.0,1202.5,1153.1,1186.3999999999999,1153.1,1117.6999999999998
2.0672842093629016,0.49710019651086035,-4.303664986462438,-1.7660245587798213,7.903330155828026,1.6439472282445724,0.013518921443177163,0.17101148537833707,1323.9,1251.4,1186.1999999999998,1251.4,1201.7,1157.1,1186.1999999999998,1157.1,1131.0
2.0464382455269066,0.5069308170632673,-4.4575414601151,-1.5732568962707145,7.740282963513844,1.6601879470323757,0.01159082479130957,0.20736870298800117,1339.3999999999999,1258.8999999999999,1186.1,1258.8999999999999,1203.5,1153.2,1186.1,1153.2,1123.3999999999999
1.9547247133367025,0.44442951400480885,-4.232115381239273,-1.9664070075686824,7.061974688640406,1.5596002119161287,0.014521639231310338,0.13995882488873204,1321.1,1251.0,1185.0,1251.0,1201.1000000000001,1154.0,1185.0,1154.0,1124.9
1.9553626557526147,0.44784814382532195,-4.2522442499454325,-1.9268792691802181,7.06648125914779,1.5649410316499421,0.014232257298002359,0.14560187447219292,1324.4,1252.8,1185.4,1252.8,1201.8,1153.8,1185.4,1153.8,1124.0
1.6459202652651619,0.5694972420416419,-6.013169441029765,-0.9427079219043437,5.185780004945435,1.7673782645421872,0.0024463224057275404,0.3895714766007261,1332.3,1258.8999999999999,1182.0,1258.8999999999999,1201.7,1141.7,1182.0,1141.7,1099.5
1.7783021177336689,0.4078515126171004,-4.293683792928744,-1.9336694959157978,5.919796763008208,1.5035838813578917,0.013654532066566907,0.1446165537926721,1319.3,1252.8,1186.0,1252.8,1202.8000000000002,1152.5,1186.0,1152.5,1118.8
1.8517258905831766,0.45234239848472607,-4.3952565674018045,-1.7553270004155141,6.370805352669969,1.571990103470114,0.012335714977044226,0.1728507107950568,1316.4,1244.8999999999999,1175.0,1244.8999999999999,1192.3,1140.7,1175.0,1140.7,1107.2
1.7611531517227301,0.6001210725701742,-5.549943271331061,-0.9792412872671361,5.819143882653277,1.8223394223521996,0.0038876777800064236,0.3755959602111887,1320.7,1254.1,1186.7,1254.1,1203.6,1152.7,1186.7,1152.7,1118.3000000000002
