decay_interval__,noise_interval__,threshold,lf_log__,le_log__,decay,noise,lf,le,mu_rt__0,mu_rt__1,mu_rt__2,mu_rt__3,mu_rt__4,mu_rt__5,mu_rt__6,mu_rt__7,mu_rt__8,mu_rt__9,mu_rt__10,mu_rt__11,mu_rt__12,mu_rt__13,mu_rt__14,mu_rt__15,mu_prob__0,mu_prob__1,mu_prob__2,mu_prob__3,mu_prob__4,mu_prob__5,mu_prob__6,mu_prob__7,mu_prob__8,mu_prob__9,mu_prob__10,mu_prob__11,mu_prob__12,mu_prob__13,mu_prob__14,mu_prob__15
-2.2221032855761584,-0.6627426893658802,1.0871508024038568,0.3013828101343598,0.7663747641153943,0.09778309212519438,1.7006188690618942,1.3517266971857727,2.1519507667109092,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.7301,0.7303,0.7329,0.9863125272178954,0.9761962281137512,0.9687601259834445,0.9618054254303502,0.9552628672554345,0.9480109959075738,0.9416266797355362,0.9358208854708965,0.9292484259706254,0.9230880620239669,0.9170626948175374,0.9121995184632321,0.8995925618884616,0.8801979722194345,0.8445762253159929,0.7389728423049531
-2.226523214329209,-0.6578855489513638,0.9503766391832743,-1.7598731678309552,0.8101814038183194,0.09739385173344113,1.7060737673632498,0.1720666860301519,2.2483158027570638,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.7303,0.9872361100212456,0.9778261638725281,0.9709093081824637,0.9644383323049784,0.9583482981824886,0.951594477767648,0.9456451340182522,0.9402317992459431,0.9340998184510432,0.9283484669264257,0.9227194086146828,0.918173290885314,0.9063762283475373,0.8881920809322016,0.8546744815441186,0.7543206910416486
-3.259742635527321,-0.531247735153967,1.7984244404944854,0.16653818728662995,0.6257908357939599,0.036978373203924934,1.8511296033198086,1.1812086421621129,1.8697240175816825,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.7301,0.7307,0.9847282118092044,0.9746310557848316,0.9674464543641099,0.9608536026619899,0.9547393436423298,0.9480439304613597,0.9422093628985199,0.9369459406363418,0.9310285053005624,0.9255181351918039,0.9201604021764163,0.9158532794628409,0.9047614877551395,0.8878616429965682,0.8571858740754713,0.7673794712290598
-3.169883356439974,-0.5619851925859145,1.8478085391211243,-2.4454636836931196,0.6684275544731111,0.040314928077460566,1.8154412450187054,0.0866859307289399,1.9511668036456555,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.9850246283080417,0.974870305307875,0.9675933047630715,0.9608879138604606,0.954649966536228,0.9478011764829769,0.941819808228417,0.9364147312432631,0.9303288594668648,0.9246537629527818,0.9191292193109697,0.9146838745168068,0.9032205786683384,0.8857193930476502,0.8538748268636058,0.760422003832779
-2.9854235105256337,-0.7496521282841947,2.0122458315699077,-0.7731672494240869,0.7240528386797178,0.0480887515155724,1.6044855252707828,0.46154891033799444,2.0627763923896523,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.7302,0.9894650587384319,0.9810168543529596,0.9746378259375372,0.9685726130810063,0.9627928566208811,0.9563135355171156,0.9505526025722991,0.9452722311670707,0.9392492410204699,0.9335641798920065,0.9279706079970825,0.92343031879262,0.9115712860920551,0.8930946641907166,0.8585353412809226,0.752603288093717
-4.4323025033442915,-0.5390446459161896,2.3700834286005334,-0.8831908647111257,0.28781006634094214,0.011747445163352785,1.8420492497258443,0.4134615048622844,1.3335040027743048,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.7301,0.7301,0.7301,0.7302,0.731,0.9842667170922934,0.9738076182219213,0.9663568425977007,0.9595160932695405,0.9531699113522585,0.9462192747604701,0.9401617511926789,0.9346973349989285,0.928553630994324,0.92283300791928,0.9172722681297929,0.91280148722426,0.9012921153221481,0.8837653581986884,0.8519884598726613,0.7593181969824936
-2.1011995654421303,-0.6346870569874641,0.6126607708148164,0.10688125592410122,0.9885932665175723,0.10898028444625715,1.7322426143020508,1.1128021079757038,2.687451284300473,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.7309,0.987275357553913,0.9780763474989491,0.9713524848908621,0.9650822061957738,0.9591949475935695,0.9526786856039048,0.9469477569976912,0.9417393355606732,0.9358458682862996,0.9303233486137575,0.9249220268767562,0.9205628872566832,0.9092595336285672,0.8918552749079867,0.8598061022995122,0.7637628025856539
-2.4029116454582558,-0.44005451609173407,0.8457910043441536,0.4502476804550928,0.7726682132954675,0.08295093826654003,1.9586398961839133,1.5687006738745024,2.1655366657398445,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.7301,0.7302,0.7318,0.9816601098977851,0.9704235447574738,0.9626040412449344,0.9555239120407695,0.9490251717161697,0.9419721895532506,0.9358734798712921,0.9304052073476126,0.9242931322224563,0.9186317374302204,0.9131514165923751,0.9087646636962394,0.8975299893421833,0.8805690880300141,0.8501749159279187,0.763137348838316
-4.327812109117433,-0.6521740548303604,2.6046871833224174,-2.76275054801424,0.08641026638468535,0.013024511673843178,1.7124989320405082,0.06311792050989436,1.0902535309372805,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.7301,0.7301,0.7301,0.7305,0.9865850464287372,0.976754863215226,0.9695456468274976,0.9628115571266107,0.9564818612923354,0.9494707768607747,0.9433016181716848,0.937694307806142,0.9313466376193712,0.9253983978351871,0.9195843851503517,0.9148888091668974,0.9027216757267477,0.8840037028648151,0.849610564292071,0.7473849799456552
-4.49003371332619,-0.5745969091603624,2.415427335435378,0.03436163974259443,0.63567224468206,0.011095768066764222,1.8008839504805807,1.0349588213003396,1.8882911085386598,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.7302,0.9854046154491037,0.9753994636069366,0.9682057535034008,0.9615640178961495,0.9553758446751472,0.948572779206426,0.9426245846426751,0.9372448934259782,0.9311820226380071,0.9255240124925632,0.9200133123721371,0.9155754680869462,0.904123450900939,0.8866164361496796,0.8547034288053494,0.7607686121065523
