decay_interval__,noise_interval__,threshold,lf_log__,le_log__,decay,noise,lf,le,mu_rt__0,mu_rt__1,mu_rt__2,mu_rt__3,mu_rt__4,mu_rt__5,mu_rt__6,mu_rt__7,mu_rt__8,mu_rt__9,mu_rt__10,mu_rt__11,mu_rt__12,mu_rt__13,mu_rt__14,mu_rt__15,mu_prob__0,mu_prob__1,mu_prob__2,mu_prob__3,mu_prob__4,mu_prob__5,mu_prob__6,mu_prob__7,mu_prob__8,mu_prob__9,mu_prob__10,mu_prob__11,mu_prob__12,mu_prob__13,mu_prob__14,mu_prob__15
-2.028372129448331,-0.5828302203914677,0.5003670377668006,-1.1604782015509196,-1.5870936340864086,0.11625606600570444,1.7914081016355463,0.3133363071424989,0.20451915629209763,0.5409,0.554,0.5616,0.5677,0.5729,0.5781,0.5824,0.5861,0.59,0.5935,0.5968,0.5993,0.6057,0.6146,0.6295,0.6676,0.9851358147297159,0.9748815117409746,0.9674967827729228,0.9606727216983002,0.9543110353029646,0.9473137881357697,0.9411936243220658,0.935656026171044,0.929416039434613,0.9235917022811905,0.9179147896299504,0.9133469421509608,0.9015535168498388,0.8835242158046446,0.8506669256085152,0.7541088953119397
-1.8810542702933868,-0.6020908021065922,0.14610166996856794,-1.1299086575675594,-1.4600541689377853,0.13226782480972096,1.7693274850291807,0.32306276441329906,0.23222369507815777,0.5339,0.5473,0.5552,0.5616,0.5671,0.5727,0.5773,0.5813,0.5856,0.5894,0.593,0.5958,0.6028,0.6128,0.6296,0.6736,0.9862917169519855,0.9766641719741411,0.9696899409549554,0.9632213571909194,0.9571733329378188,0.950503493994702,0.9446560035717176,0.9393548181208926,0.9333707269241343,0.9277754914754879,0.922312798806828,0.9179120729947506,0.9065265425939957,0.8890619202141934,0.8570711290032095,0.7620700208790158
-4.942716845589943,-0.5610765461524533,2.537052852852335,-0.6236409273324903,-1.4779264381419943,0.007084636608607937,1.8164920216058942,0.5359893822554268,0.2281101989325128,0.5338,0.547,0.5546,0.5609,0.5662,0.5717,0.5762,0.58,0.5841,0.5878,0.5913,0.594,0.6008,0.6104,0.6266,0.6688,0.9844966755776992,0.9740017025406078,0.966486876230022,0.9595667021216872,0.953132486701058,0.9460721501522481,0.9399092924697229,0.9343431038952903,0.928078058562073,0.9222386514958533,0.9165577960674134,0.9119871332753844,0.9002095690649035,0.8822486316236456,0.849628662296511,0.7543444429811095
-2.326416453515241,-0.5804243891905393,0.98894805422684,-1.012353104336198,-1.5853359718640199,0.08895866437486445,1.794174737826519,0.3633629418793678,0.2048789479903774,0.5433,0.5571,0.5649,0.5713,0.5767,0.5822,0.5867,0.5905,0.5946,0.5982,0.6017,0.6043,0.6109,0.6203,0.6358,0.6756,0.9852550611348182,0.9751012428379613,0.967791999072898,0.9610391752403706,0.9547447485395589,0.9478222326636198,0.9417678639823674,0.9362902897519197,0.9301175782849468,0.9243561536211554,0.9187414985366862,0.9142226500505951,0.9025567893205132,0.8847212274699637,0.8522104333912455,0.75659245758188
-3.1147944849782747,-0.49334387338839675,1.7041223203114737,-0.9030878333255611,-1.6140528149636926,0.04250110526193126,1.8955307675755786,0.40531617666546305,0.1990791459542243,0.5423,0.5554,0.5629,0.5689,0.5741,0.5792,0.5834,0.587,0.5909,0.5943,0.5975,0.6,0.6062,0.615,0.6295,0.6663,0.9830992287915428,0.9722844312100432,0.96466504149639,0.9577153766576795,0.951300534770042,0.9443050284739763,0.9382309870917415,0.9327674201790557,0.9266416496888481,0.9209518740803305,0.9154320938289825,0.9110033733462829,0.8996303439387556,0.8823820028506378,0.851281778542885,0.7613574906630997
-1.0835197256854294,-0.6093179591984353,-1.992357707806481,-1.6463689952677172,-1.516749469431012,0.25284051931955803,1.761073981704292,0.19274851029323836,0.21942397332883254,0.5383,0.5519,0.5598,0.5663,0.5717,0.5773,0.5819,0.5858,0.59,0.5938,0.5973,0.6001,0.6069,0.6167,0.633,0.6753,0.9856214892525216,0.9754714431343764,0.9681107477681786,0.961280339046569,0.954892518407717,0.947846764312974,0.9416694166387882,0.936068159892663,0.9297482048354696,0.9238394740775266,0.9180673922740809,0.913423012272799,0.9014046715098216,0.8829811044897306,0.8492796267513903,0.7496536832440455
-1.3230200272078017,-0.5629712498915551,-1.3655799882727162,-1.5232780076580537,-1.49640313385289,0.2103162784600816,1.8143012447530857,0.217996121495131,0.22393417456716497,0.5338,0.5467,0.5542,0.5603,0.5655,0.5708,0.5752,0.5789,0.5829,0.5865,0.5899,0.5926,0.5991,0.6084,0.6241,0.6648,0.9851642884848943,0.9750920300413171,0.9678698122666058,0.9612120413229187,0.9550163974126287,0.9482113382426863,0.9422660925831333,0.9368904672773414,0.930839179562458,0.9251944046668485,0.9196921833958938,0.9152702112780292,0.9038545323891578,0.8864129316953168,0.8546366053818691,0.7610928249352866
-0.6775306637497149,-0.5494088085807928,-3.7635252270650947,-2.012534569692008,-1.5293463125966844,0.3368126555079511,1.830007903953833,0.1336495010460815,0.21667726022780953,0.5375,0.5508,0.5584,0.5647,0.57,0.5754,0.5798,0.5836,0.5877,0.5914,0.5948,0.5975,0.6041,0.6135,0.6293,0.6702,0.984998358147227,0.9749214381956167,0.9677160443483458,0.9610838772650891,0.9549189824115973,0.948153397633263,0.9422467040908991,0.9369074634392943,0.9309020405671865,0.9253018910124924,0.9198405721123768,0.915457175013364,0.904138015533795,0.8868483775536279,0.8553497587623223,0.7624979931719137
-2.3612694330536717,-0.5122419642360542,0.8310195884968862,-1.0672965774302412,-1.5936979181617474,0.08617417641500519,1.873340520087627,0.34393706895437925,0.2031729040943098,0.5402,0.5531,0.5605,0.5665,0.5716,0.5767,0.5809,0.5845,0.5883,0.5918,0.595,0.5975,0.6036,0.6124,0.627,0.6641,0.9842771495441734,0.9740450239222086,0.9667976676568872,0.9601652478482618,0.9540270855607633,0.9473173668676833,0.9414792076122295,0.9362184013512576,0.9303112543890196,0.9248159676667207,0.9194760198550525,0.9151881375081423,0.9041551585753904,0.887372367510756,0.8569750856809618,0.768270815830456
-3.5797996880477014,-0.5189649875068858,1.9548499789586629,-0.8816564128761226,-1.6190712904897755,0.027125002780666152,1.8654714302829811,0.41409642863251606,0.19808257485788874,0.5407,0.5533,0.5606,0.5664,0.5714,0.5764,0.5804,0.5839,0.5876,0.5909,0.594,0.5965,0.6024,0.6109,0.6249,0.6604,0.9844882544122155,0.9743363794852388,0.9671339923384736,0.9605362837365528,0.954425566427425,0.9477416128199418,0.9419226494783356,0.9366773739059546,0.9307842155010685,0.925299971660394,0.9199709156482764,0.9156884336053227,0.9046677900749444,0.8878936568112823,0.8574876070254995,0.768649803410646
-4.76697804954474,-0.5988436998127397,2.533322462026362,-0.8809241688850513,-1.6837082502676763,0.008434303633417836,1.7730414078366077,0.41439975929658096,0.18568413453585164,0.5441,0.5566,0.5636,0.5693,0.5741,0.5789,0.5828,0.5861,0.5897,0.5929,0.5958,0.5981,0.6038,0.6118,0.625,0.6581,0.9858036081231564,0.9758692877378196,0.96868309912395,0.9620245715167799,0.9558039652975425,0.9489494493979246,0.9429445256105127,0.9375052281540325,0.9313666493145821,0.9256306724020695,0.9200379683707672,0.9155299252383257,0.9038819251182563,0.8860399371509051,0.8534336085871423,0.7571404974720903
-1.7951605213184916,-0.566685455801803,-0.14673552629788472,-1.330125022239689,-1.6447862009009995,0.1424411931381697,1.8100099492697557,0.26444419782714723,0.1930538331174046,0.5419,0.5545,0.5617,0.5674,0.5723,0.5772,0.5812,0.5846,0.5883,0.5915,0.5946,0.5969,0.6028,0.611,0.6247,0.6593,0.9857391286775316,0.976019592284324,0.9690404050263124,0.96260068398382,0.9566032127550825,0.9500112026223336,0.9442483206051261,0.9390353300153457,0.9331627566361911,0.927681920316785,0.9223391182767432,0.9180409600901505,0.9069409829575344,0.8899631593504251,0.85897792856793,0.7673989734559559
