le,le_log__,mu_rt__0,mu_rt__1,mu_rt__2,mu_rt__3,mu_rt__4,mu_rt__5
0.006736846663108896,-5.000163317673962,353.69999999999993,369.9000000000003,392.00000000000034,384.10000000000014,392.00000000000034,388.0000000000008
0.0397608963797276,-3.2248713526861326,352.1999999999998,390.7999999999996,413.1,366.4000000000005,413.1,387.7000000000006
0.05769620655083215,-2.8525638519823335,351.3999999999999,403.3999999999995,425.7000000000004,357.70000000000033,425.7000000000004,387.50000000000017
0.005149217151910382,-5.2689105851988725,353.8000000000001,368.9999999999998,391.0,384.9999999999998,391.0,387.9999999999999
0.0474449558054492,-3.0481850650470124,351.9000000000001,396.00000000000034,418.2999999999999,362.59999999999957,418.2999999999999,387.50000000000017
0.024788690343784434,-3.69736776435139,352.9,380.8999999999996,403.10000000000025,374.09999999999945,403.10000000000025,387.7999999999995
0.01420637078259967,-4.254064768324795,353.3999999999997,374.4000000000001,396.50000000000006,379.90000000000015,396.50000000000006,387.80000000000035
0.013170458812864619,-4.329778926106765,353.40000000000015,373.7000000000004,395.80000000000035,380.5000000000005,395.80000000000035,387.80000000000035
0.06202696383702787,-2.7801860878816766,351.19999999999993,406.6000000000001,428.99999999999983,355.5999999999999,428.99999999999983,387.50000000000017
0.057560409694241706,-2.8549202792982085,351.3999999999999,403.2999999999998,425.59999999999974,357.8000000000001,425.59999999999974,387.50000000000017
0.04911817008574477,-3.0135262497919033,351.80000000000035,397.29999999999956,419.5999999999995,361.79999999999967,419.5999999999995,387.50000000000017
0.039564784059930774,-3.229815847791788,352.1999999999998,390.6000000000001,412.90000000000003,366.5000000000003,412.90000000000003,387.6999999999997
0.05460536444108932,-2.907623151220676,351.50000000000017,401.19999999999976,423.5000000000002,359.19999999999953,423.5000000000002,387.4999999999993
0.0068983811522195515,-4.976468510525828,353.69999999999993,370.0000000000001,392.0999999999997,384.10000000000014,392.0999999999997,388.0000000000008
0.07895609265802421,-2.538863370162085,350.40000000000003,419.70000000000016,442.1999999999997,353.60000000000014,442.1999999999997,387.3999999999995
0.017907633969570177,-4.022528178304703,353.20000000000016,376.60000000000025,398.7000000000003,377.9000000000003,398.7000000000003,387.80000000000035
0.06919637167753434,-2.670806850138713,350.9000000000002,411.9999999999995,434.4000000000001,353.5999999999992,434.4000000000001,387.3999999999995
0.03601556752980165,-3.323804002614153,352.3999999999998,388.1999999999999,410.39999999999964,368.2999999999996,410.39999999999964,387.6999999999997
0.02455805025812067,-3.7067155657388384,352.9,380.80000000000024,403.0,374.29999999999984,403.0,387.80000000000035
0.015621070227267969,-4.159134620447323,353.29999999999995,375.3000000000002,397.39999999999975,379.1000000000002,397.39999999999975,387.80000000000035
0.0013709489856567744,-6.592252088680851,353.9000000000003,366.80000000000047,388.80000000000024,387.2,388.80000000000024,387.9999999999999
0.009831191145857884,-4.622195177610912,353.60000000000014,371.70000000000016,393.8000000000001,382.29999999999984,393.8000000000001,387.90000000000015
0.013750330581954733,-4.286692412834588,353.3999999999997,374.09999999999985,396.1999999999999,380.0999999999997,396.1999999999999,387.7999999999995
0.011892967341051363,-4.431808033305597,353.49999999999994,373.0000000000002,395.0,381.19999999999976,395.0,387.89999999999924
0.008041144498545162,-4.823183855356824,353.5999999999997,370.7000000000003,392.6999999999996,383.4,392.6999999999996,388.0000000000008
0.03284388418648441,-3.4159897253114497,352.50000000000006,386.2000000000001,408.39999999999986,369.9000000000003,408.39999999999986,387.6999999999997
0.0022055276543472865,-6.116788499687059,353.89999999999986,367.2000000000004,389.29999999999995,386.7000000000003,389.29999999999995,387.9999999999999
0.02624232736495769,-3.6403816235285578,352.7999999999998,381.9000000000004,403.9999999999995,373.2999999999995,403.9999999999995,387.6999999999997
0.00848403530095078,-4.76956908140307,353.5999999999997,371.00000000000045,392.9999999999998,383.0999999999998,392.9999999999998,387.90000000000015
0.021942872058525024,-3.81931292757362,353.0000000000002,379.2,401.3000000000004,375.70000000000016,401.3000000000004,387.80000000000035
0.007597821131650843,-4.879893765998041,353.70000000000033,370.4000000000001,392.39999999999986,383.70000000000016,392.39999999999986,388.0000000000008
0.04659849843122754,-3.0661869608755397,351.9000000000001,395.50000000000017,417.7000000000004,362.99999999999955,417.7000000000004,387.4999999999993
0.04426014475431533,-3.1176706738197257,352.00000000000034,393.9000000000004,416.20000000000033,364.0999999999996,416.20000000000033,387.59999999999997
0.0005386024237453352,-7.526532877512729,354.0000000000001,366.29999999999984,388.29999999999967,387.7000000000006,388.29999999999967,388.0000000000008
0.05667160689145138,-2.870481953962601,351.50000000000017,402.6999999999998,425.1,358.20000000000005,425.1,387.50000000000017
0.0746870775756842,-2.5944481927627225,350.6,416.29999999999967,438.6999999999994,353.60000000000014,438.6999999999994,387.40000000000043
0.0654734993183002,-2.726109808770077,351.1000000000002,409.2000000000002,431.59999999999997,354.09999999999985,431.59999999999997,387.50000000000017
0.06190911630345792,-2.782087835443066,351.19999999999993,406.5000000000003,428.90000000000003,355.6999999999997,428.90000000000003,387.4999999999993
0.017326242857032,-4.055532998699577,353.20000000000016,376.2999999999996,398.40000000000055,378.19999999999965,398.40000000000055,387.80000000000035
0.04394588323666549,-3.12479632848357,351.9999999999999,393.6000000000002,415.90000000000015,364.30000000000007,415.90000000000015,387.59999999999997
0.049879541433125785,-2.9981443516142092,351.80000000000035,397.7999999999997,420.0999999999997,361.39999999999975,420.0999999999997,387.4999999999993
0.03165701013229453,-3.4527956657450343,352.60000000000025,385.3000000000004,407.4999999999998,370.50000000000074,407.4999999999998,387.7000000000006
