le,mu_rt__0,mu_rt__1,mu_rt__2,mu_rt__3,mu_rt__4,mu_rt__5,le_log__
0.04259594587122302,352.1000000000001,392.80000000000024,415.00000000000006,364.90000000000043,415.00000000000006,387.59999999999997,-3.155996197577694
0.03571920095384691,352.40000000000026,387.9999999999999,410.29999999999944,368.50000000000006,410.29999999999944,387.6999999999997,-3.332066892937177
0.0019433442675833715,353.89999999999986,367.1000000000002,389.2000000000002,386.90000000000066,389.2000000000002,387.9999999999999,-6.243344940759916
0.014595533830078404,353.29999999999995,374.6,396.70000000000005,379.6999999999997,396.70000000000005,387.7999999999995,-4.2270396991148464
0.005657384217129163,353.69999999999993,369.2000000000002,391.3000000000002,384.80000000000024,391.3000000000002,387.9999999999999,-5.1747936460430815
0.04724202759187036,351.89999999999964,395.90000000000015,418.2000000000001,362.7000000000003,418.2000000000001,387.50000000000017,-3.0524713674929758
0.027152126826968437,352.80000000000024,382.5000000000003,404.6000000000003,372.7999999999998,404.6000000000003,387.6999999999997,-3.6062998995020434
0.020791192891284074,353.09999999999997,378.4000000000005,400.59999999999985,376.2999999999996,400.59999999999985,387.80000000000035,-3.873225800630135
0.019586185801116453,353.1000000000004,377.7000000000004,399.79999999999995,377.0000000000007,399.79999999999995,387.80000000000035,-3.9329307673037137
0.027422288338041393,352.80000000000024,382.7000000000003,404.8000000000003,372.70000000000005,404.8000000000003,387.6999999999997,-3.5963991532593473
0.04104347825137942,352.2000000000003,391.70000000000016,413.8999999999999,365.8000000000001,413.8999999999999,387.59999999999997,-3.193123328997008
0.03026344913068044,352.60000000000025,384.4999999999996,406.7000000000003,371.2,406.7000000000003,387.6999999999997,-3.497814593948961
0.01890464144701706,353.20000000000016,377.3000000000004,399.3999999999995,377.29999999999995,399.3999999999995,387.7999999999995,-3.968347807858926
0.03823468597537281,352.30000000000007,389.7999999999997,411.99999999999994,367.19999999999953,411.99999999999994,387.6999999999997,-3.264012165534641
0.03641860744243992,352.3999999999998,388.50000000000006,410.7000000000003,368.1000000000001,410.7000000000003,387.6999999999997,-3.3126754414806907
0.01904471757055902,353.09999999999997,377.4000000000002,399.4999999999998,377.2000000000002,399.4999999999998,387.80000000000035,-3.9609655087462485
0.04456734919803948,351.9999999999999,394.0999999999999,416.4000000000003,363.9999999999999,416.4000000000003,387.59999999999997,-3.110753768819542
0.028988301504073666,352.7,383.59999999999997,405.8000000000002,371.9000000000001,405.8000000000002,387.6999999999997,-3.540862926793136
0.058323829576569605,351.3999999999999,403.90000000000015,426.20000000000056,357.40000000000015,426.20000000000056,387.50000000000017,-2.8417445285444103
0.05995384504289119,351.3000000000002,405.1,427.4999999999998,356.60000000000025,427.4999999999998,387.50000000000017,-2.814180262069235
0.024455546468117036,352.9,380.7000000000005,402.90000000000026,374.39999999999964,402.90000000000026,387.7999999999995,-3.7108982393759535
0.055371630919849694,351.4999999999997,401.69999999999993,424.0999999999997,358.79999999999956,424.0999999999997,387.4999999999993,-2.893687893644266
0.007192224109224723,353.70000000000033,370.2000000000005,392.1999999999994,383.8999999999997,392.1999999999994,387.9999999999999,-4.93475482139387
0.0700566674025317,350.8,412.70000000000005,435.10000000000025,353.60000000000014,435.10000000000025,387.3999999999995,-2.6584508301070713
0.029192940937562285,352.7,383.7999999999995,405.9999999999997,371.80000000000035,405.9999999999997,387.7000000000006,-3.533828347647452
0.024111729830591212,352.9,380.50000000000006,402.69999999999936,374.4999999999994,402.69999999999936,387.7999999999995,-3.725056841930545
0.08619191007884304,350.09999999999985,425.49999999999955,447.99999999999994,353.60000000000014,447.99999999999994,387.3999999999995,-2.4511789563102004
0.03877352185688804,352.30000000000007,390.19999999999965,412.39999999999986,366.9000000000002,412.39999999999986,387.7000000000006,-3.2500176916806396
0.06730587457108263,351.0,410.4999999999999,433.0000000000003,353.60000000000014,433.0000000000003,387.4999999999993,-2.6985077568232247
0.05605338831631436,351.50000000000017,402.19999999999965,424.6000000000003,358.5000000000003,424.6000000000003,387.50000000000017,-2.881450679617335
0.024289621266981736,352.9,380.59999999999985,402.7999999999996,374.5000000000003,402.7999999999996,387.80000000000035,-3.7177061282270483
0.004047729412442428,353.8000000000001,368.3000000000005,390.29999999999984,385.69999999999993,390.29999999999984,387.9999999999999,-5.509599193983547
0.035135275224168115,352.40000000000026,387.70000000000016,409.8999999999999,368.6999999999996,409.8999999999999,387.6999999999997,-3.348549661035282
0.03344158973390271,352.50000000000006,386.6000000000005,408.79999999999984,369.60000000000014,408.79999999999984,387.6999999999997,-3.397954952006186
0.043077641767198534,352.0999999999996,393.0000000000002,415.30000000000024,364.70000000000005,415.30000000000024,387.59999999999997,-3.1447511689722587
0.005228591523671482,353.79999999999967,369.09999999999957,391.0999999999998,384.9999999999998,391.0999999999998,387.9999999999999,-5.2536133443123685
0.019059737737259795,353.09999999999997,377.4000000000002,399.4999999999998,377.2000000000002,399.4999999999998,387.80000000000035,-3.960177140700707
0.013683262404251478,353.3999999999997,374.0000000000001,396.10000000000014,380.1999999999994,396.10000000000014,387.7999999999995,-4.291581915376586
0.021002719831348125,353.09999999999997,378.49999999999983,400.6999999999996,376.2000000000007,400.6999999999996,387.80000000000035,-3.8631033338666763
0.017743554134905377,353.19999999999976,376.50000000000006,398.60000000000053,378.0000000000001,398.60000000000053,387.80000000000035,-4.031732976343946
0.034421168900023495,352.50000000000006,387.2,409.39999999999975,369.1000000000004,409.39999999999975,387.7000000000006,-3.369083528867655
0.07805887563947711,350.5000000000002,419.00000000000006,441.5,353.60000000000014,441.5,387.3999999999995,-2.5502919211320574
