logRTresid,quant
-0.256088373841417,every
-0.094797458072763,every
-0.391867018359715,every
-0.013474586791347,each
0.068203444222923,each
-0.034980792012306,every
0.105823314904849,each
0.070266155401071,each
0.323727101321636,every
0.071294484263777,every
0.563555634118465,each
0.31146710462556,each
0.082239929356936,every
-0.392798005870806,every
-0.386467824611391,each
-0.474225386402769,each
-0.394821238213006,every
0.03792295721581,each
-0.024597399765531,each
0.398833046702991,each
-0.273295205528496,every
-0.249137716514182,every
-0.280530773902731,every
-0.42614505250134,every
-0.180949523071167,each
-0.00988886978295,each
0.343538527774236,each
0.208546298201401,every
0.276918840432846,each
0.27633865695784,each
0.116952970300537,each
0.07639549881406,every
-0.488834958440716,every
0.56292843001101,every
-0.1674726776249,every
-0.000976161975339,each
0.107427677471394,each
-0.372806190925129,every
-0.049936849855971,every
-0.170321228317294,every
-0.24660999818362,each
-0.544161531268489,each
0.151476239163749,each
0.44836446988601,each
-0.029092487925487,every
0.138429104927593,each
0.341519842051619,each
0.308247804305793,each
-0.056829242897087,every
0.025944889618087,every
-0.021822438681876,every
0.057213718833875,every
0.284576653751087,every
-0.25939964025381,each
-0.069846717212642,every
-0.039210423342802,every
-0.008221963976859,each
-0.237217851514518,each
-0.269771227873044,each
0.001191418231286,every
0.469733982943498,every
0.343766161945553,each
-0.010926620789188,every
0.204929717091333,each
-0.423536333230857,every
-0.270490905943129,every
-0.062237079366816,each
-0.163131385137163,each
-0.224138475318588,each
0.121055540779413,each
-0.200095788627983,every
-0.227618648318065,each
-0.190802055050998,each
-0.08861975014427,every
0.986591111470221,every
0.178907355357243,every
