logRTresid,quant
0.05612848608444,each
0.241384355572427,each
0.05612848608444,every
0.037743421937457,each
-0.208206368279296,every
-0.113989755511888,every
-0.041182616212583,each
0.019087214404091,each
0.869076866457,every
0.040079006415526,each
0.09053045905318,every
-0.019101127631874,each
0.181283949848203,each
-0.48928803619976,every
-0.042090645856574,every
0.165363540195544,each
-0.276930236933974,every
-0.162420526622564,each
-0.073706482106353,every
-0.183732524721617,every
-0.128427026227149,every
-0.269446370925939,each
0.140290775659476,each
-0.339053507494573,each
0.084912524990441,every
0.08041521973429,every
-0.37811437827472,every
-0.064504604436555,each
0.052001524570271,every
-0.114307819484209,each
0.318873716978981,every
-0.187535836519619,each
0.092813388478105,every
-0.250029590335731,every
-0.14110973964507,each
-0.126330843740035,each
-0.162263725137426,each
-0.221834685382755,every
-0.124434155264376,every
-0.08556573363099,each
-0.0196077658392,each
-0.066706624605591,every
0.216320576511116,every
-0.061492035307576,each
-0.170161801789158,each
0.350335273011838,each
-0.224991725973322,every
-0.196556325972849,every
-0.027638323769403,every
-0.221958178630152,each
0.107771265120236,each
0.317966396415088,every
-0.036854978874323,each
-0.001799584541825,each
-0.172839799355529,every
-0.194264675633972,each
-0.076009306233234,every
-0.11267315389779,each
0.044912359775005,every
-0.052366177362716,each
-0.678407840683957,every
-0.39450289012612,each
-0.352539563500526,every
0.038642746761415,every
0.311440164619279,every
0.532128168904064,each
0.066617676724658,every
-0.075204617813061,every
0.090578089360342,each
-0.071601817790961,each
0.399480153944017,every
0.011624965891119,every
0.003141430535213,each
0.045998939324614,each
0.180982117207088,each
0.220760088664008,each
-0.149133553659293,every
-0.218326946131935,each
0.702742550234912,every
-0.418850287750711,every
-0.473876519961297,each
-0.320228047859462,every
-0.09757143353988,each
-0.010166457022648,every
0.10185995082053,every
-0.006250629445302,each
0.13695127063181,every
-0.326682559525032,each
0.06549230664966,each
-0.305003143161699,each
0.009550193841984,every
-0.132257108086396,every
0.184552934789928,every
-0.098755727974702,every
0.221332366992229,each
0.51867772411419,every
-0.015594544276209,every
0.006457433839754,each
-0.256939880415246,each
-0.171562867274007,each
0.50158329075489,every
-0.076303142025857,every
-0.099788587786525,every
0.196942823296175,each
-0.103125843675391,each
0.110538291504454,each
-0.13575229143109,every
0.078705364931234,each
-0.448424967859696,every
-0.225740261129066,every
0.183867371723792,every
0.109489945525437,each
-0.036087187154773,each
-0.14731961631119,each
0.567270842997757,each
-0.131216208744609,every
-0.18368726048206,every
-0.00812248615099,each
0.661712048063896,every
0.409039385278766,every
-0.01005084062681,each
-0.032829292479047,every
0.217010825192562,every
-0.01442425031396,each
-0.215224523980208,every
-0.126277037963708,each
-0.215224523980208,each
0.927817088977163,each
0.055946796957604,every
-0.146825895480955,every
0.052096603666467,each
0.037745012132778,each
0.069237038891072,every
-0.151692567820646,every
-0.196679881161688,every
-0.318125253762017,each
-0.294366194670271,each
0.199134708126809,every
0.054599486998999,each
0.103474864262983,each
-0.039035211381219,each
-0.092003987192881,each
0.084037969261164,every
-0.068003802543353,every
-0.06038813402062,every
0.286470842677052,each
0.077379044818492,each
-0.128473009385658,every
0.053848547408292,every
-0.231632081565103,each
-0.064436695973514,every
-0.000756807066187,every
-0.223717079058241,each
0.069069704094988,each
-0.332493177056802,every
0.067225534433781,every
-0.142017487735791,every
-0.18663981333273,every
-0.29171619772,every
0.196910094086663,each
