le_log__,le,mu_rt__0,mu_rt__1,mu_rt__2,mu_rt__3,mu_rt__4,mu_rt__5
-3.101092789211817,0.045000000000000005,350.7000000000002,394.4000000000001,416.70000000000005,363.80000000000035,416.69999999999965,387.50000000000017
-3.101092789211817,0.045000000000000005,350.29999999999984,394.4000000000001,416.70000000000005,363.79999999999944,416.70000000000005,387.59999999999997
-3.3383692312614786,0.03549479435070508,355.9999999999999,387.90000000000015,410.2000000000001,368.5999999999998,410.1999999999997,387.7000000000006
-3.3383692312614786,0.03549479435070508,365.09999999999997,387.9999999999999,410.2000000000001,368.5999999999998,410.20000000000056,387.6999999999997
-3.3383692312614786,0.03549479435070508,350.89999999999975,387.90000000000015,410.0999999999999,368.6000000000007,410.10000000000036,387.6999999999997
-2.557626526839737,0.07748843908556456,350.29999999999984,418.4999999999999,440.99999999999983,357.19999999999976,440.9999999999994,387.40000000000043
-2.692625816487588,0.06770293029383173,349.60000000000014,410.90000000000026,433.3999999999998,366.6999999999998,433.3,387.50000000000017
-5.0645904526370575,0.006316497277949913,353.19999999999976,369.5999999999997,391.6999999999997,384.4000000000003,391.70000000000016,387.9999999999999
-5.135289424378335,0.005885347895534469,355.2999999999997,369.40000000000015,391.50000000000017,384.59999999999985,391.5000000000006,387.9999999999999
-4.740423598320243,0.008734945293529072,358.29999999999984,371.09999999999974,393.09999999999957,382.90000000000026,393.09999999999957,387.90000000000015
-4.341661856924685,0.013014881350736992,350.7000000000002,373.5999999999997,395.6999999999997,380.4999999999996,395.70000000000016,387.7999999999995
-3.850447711308209,0.02127021139213256,351.2000000000004,378.7000000000003,400.8000000000003,376.0999999999992,400.79999999999984,387.80000000000035
-3.850447711308209,0.02127021139213256,356.3999999999998,378.6999999999998,400.79999999999984,376.1000000000001,400.8000000000003,387.7999999999995
-4.456028629857881,0.011608373012152888,354.29999999999984,372.7999999999998,394.90000000000026,381.3000000000004,394.80000000000007,387.89999999999924
-4.456028629857881,0.011608373012152888,352.3999999999998,372.7999999999998,394.8999999999998,381.3000000000004,394.8999999999998,387.90000000000015
-2.976770649982416,0.05095712684081541,349.40000000000015,398.49999999999983,420.89999999999964,360.9,420.90000000000003,387.50000000000017
-2.976770649982416,0.05095712684081541,349.29999999999995,398.49999999999983,420.90000000000003,360.9,420.90000000000003,387.50000000000017
-2.976770649982416,0.05095712684081541,353.70000000000033,398.5000000000003,420.90000000000003,360.9,420.89999999999964,387.50000000000017
-3.5241805110385833,0.029475952692201657,355.19999999999993,383.9999999999999,406.19999999999965,371.5999999999999,406.19999999999965,387.6999999999997
-3.477396474207776,0.03088772342429247,352.50000000000006,384.90000000000003,407.0999999999998,370.8999999999998,407.10000000000025,387.6999999999997
-3.477396474207776,0.03088772342429247,353.40000000000015,384.9000000000005,407.10000000000025,370.8999999999998,407.0,387.6999999999997
-3.477396474207776,0.03088772342429247,352.30000000000007,384.9000000000005,407.00000000000045,370.8999999999998,407.00000000000045,387.6999999999997
-3.477396474207776,0.03088772342429247,355.3999999999999,384.90000000000003,407.0,370.8999999999998,406.9999999999996,387.6999999999997
-3.477396474207776,0.03088772342429247,350.89999999999975,384.8999999999996,406.9999999999996,370.8999999999998,407.0,387.6999999999997
-3.477396474207776,0.03088772342429247,351.5999999999999,384.90000000000003,407.0999999999998,370.90000000000066,407.0999999999998,387.6999999999997
-4.062648059573894,0.01720340310874489,347.7000000000001,376.20000000000033,398.2999999999999,378.19999999999965,398.3000000000003,387.80000000000035
-3.6148288683049503,0.026921531950433855,350.6,382.4000000000001,404.49999999999966,372.9999999999993,404.49999999999966,387.6999999999997
-3.6148288683049503,0.026921531950433855,351.3999999999999,382.39999999999964,404.5000000000005,373.0000000000002,404.5000000000005,387.6999999999997
-3.6148288683049503,0.026921531950433855,353.60000000000014,382.4000000000001,404.50000000000006,373.0000000000002,404.49999999999966,387.6999999999997
-4.029781397975942,0.017778215882884116,352.1999999999998,376.5999999999998,398.6999999999998,377.9000000000003,398.6999999999998,387.80000000000035
-4.029781397975942,0.017778215882884116,353.60000000000014,376.60000000000025,398.7000000000003,377.89999999999947,398.7000000000003,387.80000000000035
-3.3824262100131888,0.03396494858809074,356.80000000000024,386.90000000000026,409.1000000000005,369.29999999999995,409.1000000000005,387.6999999999997
-3.3824262100131888,0.03396494858809074,350.49999999999983,386.90000000000026,409.1,369.29999999999995,409.1000000000005,387.6999999999997
-3.119979058388234,0.04415809315165325,349.9000000000003,393.8000000000001,416.10000000000014,364.1999999999994,416.0999999999997,387.59999999999997
-3.119979058388234,0.04415809315165325,347.9999999999999,393.7999999999997,416.10000000000014,364.2000000000003,416.10000000000014,387.59999999999997
-3.547299781146463,0.028802307280398374,350.20000000000005,383.50000000000017,405.69999999999993,372.0000000000008,405.69999999999993,387.6999999999997
-3.666700724739357,0.025560662644776286,352.00000000000034,381.39999999999975,403.59999999999997,373.7000000000004,403.59999999999997,387.80000000000035
-3.7198136431371633,0.024238484432748352,357.29999999999995,380.60000000000025,402.7999999999996,374.4000000000005,402.7999999999996,387.80000000000035
-3.429051749366051,0.032417666275462956,350.8,385.8999999999999,408.0999999999997,370.10000000000076,408.0999999999992,387.7000000000006
-3.429051749366051,0.032417666275462956,352.30000000000007,385.8999999999999,408.0999999999997,370.09999999999985,408.10000000000014,387.6999999999997
-3.95887732871879,0.019084527920541234,351.60000000000036,377.39999999999975,399.50000000000017,377.2000000000002,399.50000000000017,387.7999999999995
-3.95887732871879,0.019084527920541234,357.3999999999997,377.39999999999975,399.4999999999998,377.1999999999993,399.50000000000017,387.80000000000035
-3.700175285247253,0.024719193180681037,349.49999999999994,380.90000000000043,403.0999999999998,374.2000000000001,403.10000000000025,387.7999999999995
-5.194858842570787,0.005544998977552107,358.20000000000005,369.2000000000002,391.3000000000002,384.80000000000024,391.3000000000002,387.9999999999999
-4.73051353845104,0.008821939471127782,353.19999999999976,371.2,393.2000000000002,382.89999999999935,393.19999999999976,387.90000000000015
-3.687044830064442,0.025045907700046124,350.40000000000003,381.1,403.2999999999998,373.99999999999966,403.30000000000024,387.80000000000035
-4.253036979747619,0.01422097943422981,350.8,374.4000000000001,396.50000000000006,379.90000000000015,396.49999999999966,387.80000000000035
-2.834457291823612,0.05875040150675956,359.3999999999999,404.1000000000006,426.49999999999943,357.2000000000006,426.4999999999999,387.50000000000017
-2.834457291823612,0.05875040150675956,347.5999999999999,404.1999999999999,426.4999999999999,357.19999999999976,426.49999999999943,387.50000000000017
-2.834457291823612,0.05875040150675956,353.09999999999997,404.0999999999997,426.4999999999999,357.2000000000006,426.4999999999999,387.50000000000017
-2.834457291823612,0.05875040150675956,351.4000000000004,404.1999999999999,426.50000000000034,357.09999999999997,426.4999999999999,387.4999999999993
-2.834457291823612,0.05875040150675956,350.8,404.0999999999997,426.4999999999999,357.09999999999997,426.49999999999943,387.50000000000017
-2.834457291823612,0.05875040150675956,356.9,404.20000000000033,426.4999999999999,357.19999999999976,426.4999999999999,387.50000000000017
-2.709132171768852,0.06659457429683824,356.40000000000026,410.09999999999945,432.49999999999966,354.3000000000003,432.49999999999966,387.40000000000043
-2.709132171768852,0.06659457429683824,347.19999999999993,410.0999999999999,432.49999999999966,354.7000000000002,432.5000000000001,387.50000000000017
-2.709132171768852,0.06659457429683824,357.60000000000014,410.0999999999999,432.50000000000057,355.79999999999944,432.5000000000001,387.4999999999993
-3.057158478847108,0.04702111706849548,354.89999999999975,395.70000000000016,418.00000000000017,362.8,418.00000000000057,387.50000000000017
-3.057158478847108,0.04702111706849548,348.50000000000006,395.6999999999997,417.9999999999997,362.8,417.9999999999997,387.50000000000017
-3.9842389203592825,0.018606600039713702,351.0000000000004,377.1000000000004,399.20000000000044,377.4999999999995,399.20000000000044,387.80000000000035
-3.733813865946454,0.023901504650308863,350.8,380.39999999999986,402.4999999999999,374.7000000000007,402.5000000000003,387.80000000000035
-3.8627993758983923,0.02100910474572014,349.89999999999986,378.5999999999996,400.6999999999996,376.1999999999999,400.70000000000005,387.80000000000035
-3.6598254737453235,0.025737004117350915,349.29999999999995,381.59999999999974,403.79999999999995,373.5999999999997,403.70000000000016,387.80000000000035
-3.6598254737453235,0.025737004117350915,357.29999999999995,381.59999999999974,403.70000000000016,373.6000000000006,403.79999999999995,387.7999999999995
-3.6598254737453235,0.025737004117350915,351.9999999999999,381.60000000000014,403.79999999999995,373.5999999999997,403.70000000000016,387.7999999999995
-3.493178991726207,0.03040406410848674,354.89999999999975,384.59999999999985,406.79999999999916,371.2,406.7999999999996,387.7000000000006
-3.3962498370499854,0.03349866013068337,354.20000000000005,386.5999999999996,408.79999999999984,369.60000000000014,408.79999999999984,387.6999999999997
-3.3962498370499854,0.03349866013068337,347.3999999999999,386.6000000000001,408.79999999999984,369.60000000000014,408.8000000000003,387.6999999999997
-3.3962498370499854,0.03349866013068337,352.30000000000007,386.5999999999996,408.79999999999984,369.60000000000014,408.8000000000003,387.6999999999997
-3.406941418020194,0.03314241430258992,355.7000000000001,386.39999999999964,408.59999999999985,369.79999999999967,408.59999999999985,387.7000000000006
-3.406941418020194,0.03314241430258992,352.7,386.40000000000055,408.59999999999985,369.8000000000006,408.6000000000003,387.6999999999997
-3.461337703256949,0.0313877464318095,356.30000000000007,385.3000000000004,407.40000000000043,370.69999999999936,407.4,387.6999999999997
-3.841306522311131,0.021465537812193968,350.29999999999984,378.79999999999956,400.90000000000003,375.99999999999943,400.8999999999996,387.80000000000035
-3.13882189517965,0.04333381962337919,350.49999999999983,393.2000000000002,415.4999999999998,364.60000000000025,415.4999999999998,387.59999999999997
-3.13882189517965,0.04333381962337919,351.09999999999974,393.19999999999976,415.5000000000002,364.59999999999934,415.5000000000002,387.59999999999997
-3.1377466806441663,0.04338043783391385,352.7,393.2000000000002,415.4999999999998,364.4999999999996,415.4999999999998,387.59999999999997
-3.1377466806441663,0.04338043783391385,349.6999999999999,393.2000000000002,415.4999999999998,364.5000000000005,415.5000000000002,387.59999999999997
-3.1377466806441663,0.04338043783391385,349.70000000000033,393.19999999999976,415.5000000000002,364.4999999999996,415.5000000000002,387.59999999999997
-3.1377466806441663,0.04338043783391385,348.5999999999998,393.19999999999976,415.5000000000002,364.4999999999996,415.5000000000002,387.6000000000008
-3.1377466806441663,0.04338043783391385,350.0000000000001,393.19999999999976,415.4999999999998,364.4999999999996,415.5000000000002,387.59999999999997
-3.1377466806441663,0.04338043783391385,351.9999999999999,393.2000000000002,415.4999999999998,364.4999999999996,415.5000000000002,387.59999999999997
-3.0898432122933457,0.045509089111003466,356.40000000000026,394.7000000000003,417.0000000000003,363.50000000000017,416.99999999999983,387.59999999999997
-3.0898432122933457,0.045509089111003466,351.50000000000017,394.7000000000003,417.0000000000003,363.50000000000017,417.0000000000003,387.59999999999997
-3.5293206807288287,0.029324830024398896,358.89999999999975,383.90000000000015,406.0999999999999,371.7000000000006,406.10000000000036,387.6999999999997
-4.113042978602082,0.016357921908194847,358.3000000000003,375.6999999999997,397.7000000000004,378.69999999999936,397.6999999999995,387.80000000000035
-4.113042978602082,0.016357921908194847,349.8000000000001,375.6999999999997,397.7999999999997,378.7000000000003,397.69999999999993,387.80000000000035
-4.480434345562767,0.011328491605856479,351.9000000000001,372.70000000000005,394.80000000000047,381.49999999999994,394.7999999999996,387.90000000000015
-5.207476146695843,0.005475475560448399,353.20000000000016,369.09999999999957,391.2,384.90000000000003,391.2,387.9999999999999
-3.526072833521102,0.02942022742594445,349.89999999999986,383.8999999999997,406.10000000000036,371.6999999999997,406.10000000000036,387.7000000000006
-3.526072833521102,0.02942022742594445,351.5999999999999,383.90000000000015,406.0999999999999,371.6999999999997,406.10000000000036,387.6999999999997
-3.108795260497397,0.04465472025288096,347.9000000000001,394.10000000000036,416.4000000000003,363.9000000000001,416.39999999999986,387.50000000000017
-3.108795260497397,0.04465472025288096,352.0999999999996,394.09999999999945,416.4000000000003,363.89999999999924,416.39999999999986,387.59999999999997
-3.106399280923446,0.044761840327997834,353.5999999999997,394.19999999999965,416.5000000000001,363.9000000000001,416.5000000000005,387.59999999999997
-3.106399280923446,0.044761840327997834,355.00000000000045,394.20000000000056,416.5000000000001,363.9000000000001,416.5000000000001,387.59999999999997
-3.0789046003789813,0.04600962798469415,352.1000000000001,395.0999999999998,417.3,363.2999999999997,417.29999999999956,387.50000000000017
-4.051597365283728,0.017394566958509182,350.7000000000002,376.2999999999996,398.39999999999964,378.0999999999999,398.39999999999964,387.7999999999995
-4.051597365283728,0.017394566958509182,349.40000000000015,376.30000000000007,398.4000000000001,378.0999999999999,398.4000000000001,387.80000000000035
