intercept,slope,sigma_log__,sigma,mu__0,mu__1,mu__2,mu__3,mu__4,mu__5,mu__6
0.7469102115221431,-0.025280466382999106,5.000201532473231,148.4430721877184,0.7385676576157534,0.721629745139144,0.5244421073517509,0.14017901833016455,-0.466552174861814,-2.893476947629728,-18.061756777429192
0.7469102115221431,-0.025280466382999106,5.000201532473231,148.4430721877184,0.7385676576157534,0.721629745139144,0.5244421073517509,0.14017901833016455,-0.466552174861814,-2.893476947629728,-18.061756777429192
0.7469102115221431,-0.025280466382999106,5.000201532473231,148.4430721877184,0.7385676576157534,0.721629745139144,0.5244421073517509,0.14017901833016455,-0.466552174861814,-2.893476947629728,-18.061756777429192
0.3638505053157174,-0.13424563233629597,4.578117350047394,97.33098144261145,0.3195494466447397,0.22960487297942142,-0.8175110592436873,-2.858044670755386,-6.079939846826489,-18.9675205511109,-99.51489995288848
0.1347252305659396,-0.04910341253994041,3.6209166431934787,37.371808740413634,0.11852110442775926,0.08562181802599919,-0.29738479978553606,-1.0437566703926302,-2.2222385713512,-6.93616617518548,-36.39821369914972
-0.11870295489261266,0.054125792535811915,3.318948758793712,27.631288136713373,-0.10084144335579473,-0.06457716235680075,0.3576040194225322,1.1803160659668734,2.4793350868263593,7.675411170264303,40.15088669175145
0.5086271749704356,-0.04794519295153268,2.868475348201541,17.610148377086325,0.4928052612964299,0.460681982018903,0.08670947699694803,-0.6420574558663485,-1.7927420867031327,-6.395480610050269,-35.16259638096987
0.15098025232939014,0.006917605992304485,2.4260880474206203,11.31453347332978,0.1532630623068506,0.15789785832169462,0.21185518506166962,0.3170027961446978,0.4830253399600054,1.147115515221236,5.297679110603927
0.15098025232939014,0.006917605992304485,2.4260880474206203,11.31453347332978,0.1532630623068506,0.15789785832169462,0.21185518506166962,0.3170027961446978,0.4830253399600054,1.147115515221236,5.297679110603927
-0.10253423329602246,0.0022843976857239256,1.191746732303486,3.2928278757967884,-0.10178038205973357,-0.10024983561029853,-0.08243153366165192,-0.04770868883864825,0.007116855618725965,0.22641903344822284,1.5970576448825782
-0.23911094471859146,0.0085788998699553,1.4022807212677688,4.064459302622447,-0.2362799077615062,-0.23053204484863615,-0.1636166258629848,-0.03321734783966426,0.17267624903926293,0.9962506365549717,6.143590558528151
-0.12398775452994011,0.011790424069683779,1.6732331501295483,5.3293706278644635,-0.12009691458694446,-0.11219733046025633,-0.02023202271672285,0.15898242314247057,0.44195260081488125,1.573833311504524,8.64808775331479
0.150496676984693,0.016209243598299422,1.9971407397842944,7.367959040158786,0.1558457273721318,0.1667059205829924,0.29313802064972794,0.5395185233438791,0.9285403697030652,2.48462775513981,12.210173914119462
0.020581275372206637,0.008604371281346914,1.6890795308687436,5.414494535594314,0.023420717895051117,0.02918564665355355,0.09629974264805949,0.22708618612453257,0.4335910968768585,1.2596107398861622,6.422233508694311
0.4872064211541849,0.005250424956850126,1.152480961954047,3.166037993795859,0.4889390613899454,0.492456846111035,0.533410160774466,0.6132166201185879,0.7392268190829909,1.243267614940603,4.393522589050679
1.1537484449469864,0.0015647093872710673,1.0136109741177104,2.7555332309146823,1.1542647990447858,1.1553131543342574,1.1675178875549717,1.191301470241492,1.2288544955359977,1.37906659671402,2.3178922290766604
1.326509398758116,0.005291432059436538,1.062915617804276,2.894798824116385,1.32825557133773,1.3318008308175526,1.3730740008811575,1.4535037681845928,1.5804981376110698,2.0884756153169777,5.2633348509789
1.36080349252587,-0.0037162910192929492,0.7473476661465107,2.1113924656367877,1.3595771164895034,1.3570872015065771,1.328100131556092,1.2716125080628393,1.1824215235998086,0.8256575857476853,-1.404117025828084
1.3599013660624069,0.008408512730263818,0.8458264746951704,2.3299026246187307,1.362676175263394,1.3683098787926706,1.4338962780887285,1.5617056715887385,1.7635099771150702,2.5707271992203964,7.615834837378688
1.3599013660624069,0.008408512730263818,0.8458264746951704,2.3299026246187307,1.362676175263394,1.3683098787926706,1.4338962780887285,1.5617056715887385,1.7635099771150702,2.5707271992203964,7.615834837378688
1.3977275989407805,-0.0024950266621015602,0.759322490961306,2.136828009673565,1.3969042401422869,1.395232572278679,1.3757713643142868,1.337846959050343,1.2779663191599056,1.038443759598156,-0.4585722376627803
1.3999222425430797,-0.003091046796090921,0.7619731669937726,2.142499561867311,1.3989021971003697,1.3968311957469888,1.3727210307374795,1.3257371194368976,1.2515519963307156,0.954811503905987,-0.8998165737485657
2.1156971243449676,0.0036860561648455374,0.9121370567201056,2.489637348557702,2.1169135228793667,2.1193831805098133,2.148134418595608,2.2041624723012605,2.2926278202575534,2.646489212082725,4.858122910990048
3.1348782164418783,0.0027433332646724044,0.5421180527846144,1.7196453071467515,3.1357835164192203,3.1376215497065507,3.1590195491709956,3.200718214794016,3.2665582131461535,3.5299182065547043,5.175918165358147
3.0346503365824855,0.0026552786624071322,0.6769809073289271,1.9679273992585433,3.03552657854108,3.0373056152448927,3.0580167888116683,3.0983770244802566,3.162103712378028,3.4170104639691123,5.010177661413392
3.0354031198009963,-0.003392379691649364,0.5523805320827008,1.737383997297568,3.034283634502752,3.032010740109347,3.005550178514482,2.9539860072014115,2.8725688946018266,2.5469004442034877,0.5114726292138694
3.0354031198009963,-0.003392379691649364,0.5523805320827008,1.737383997297568,3.034283634502752,3.032010740109347,3.005550178514482,2.9539860072014115,2.8725688946018266,2.5469004442034877,0.5114726292138694
3.529239689740831,-0.00042886047957999343,-0.5740213432003478,0.5632558333116157,3.5290981657825697,3.5288108292612512,3.525465717520527,3.518947038230911,3.5086543867209916,3.467483780681312,3.210167492933316
